order_id,customer_email,sku,amount,currency,order_date,order_notes,status
ORD00001,unknown@example.com,SKU-678,1868.83,INR,2022-09-24,,PENDING
ORD00002,user18@example.com,SKU-447,1832.57,INR,2022-07-25,,COMPLETED
ORD00003,user92@example.com,SKU-142,1396.51,INR,2023-08-05,,COMPLETED
ORD00004,unknown@example.com,SKU-507,1150.26,EUR,2023-04-26,urgent,PENDING
ORD00011,user192@example.com,SKU-953,1070.6,USD,2023-03-12,,COMPLETED
ORD00012,user120@example.com,SKU-000,614.23,EUR,2024-09-21,real,COMPLETED
ORD00013,user91@example.com,SKU-358,1054.27,INR,2024-04-03,real,COMPLETED
ORD00014,user171@example.com,SKU-818,1848.2,USD,2024-05-20,,PENDING
ORD00016,user180@example.com,SKU-000,943.65,USD,2022-12-26,,REFUNDED
ORD00017,user97@example.com,SKU-226,1493.14,EUR,2024-04-15,,PENDING
ORD00019,unknown@example.com,SKU-880,1304.76,USD,2023-06-04,urgent,PENDING
ORD00020,user166@example.com,SKU-310,804.41,EUR,2023-04-15,urgent,COMPLETED
ORD00021,user199@example.com,SKU-173,1855.71,EUR,2022-07-24,,COMPLETED
ORD00022,user139@example.com,SKU-784,1100.69,EUR,2023-11-03,,COMPLETED
ORD00024,user20@example.com,SKU-625,320.16,INR,2022-12-08,urgent,COMPLETED
ORD00025,user130@example.com,SKU-838,990.12,EUR,2024-02-02,,REFUNDED
ORD00026,user185@example.com,SKU-138,1450.55,USD,2023-11-13,,COMPLETED
ORD00027,user124@example.com,SKU-734,389.21,USD,2024-07-18,,COMPLETED
ORD00028,user107@example.com,SKU-341,770.25,INR,2022-11-17,real,PENDING
ORD00030,user62@example.com,SKU-708,913.41,GBP,2024-08-03,real,COMPLETED
ORD00031,user175@example.com,SKU-432,1716.18,USD,2023-08-03,,COMPLETED
ORD00032,user178@example.com,SKU-540,1376.33,EUR,2024-01-26,urgent,PENDING
ORD00033,unknown@example.com,SKU-609,1514.1,USD,2022-03-09,,PENDING
ORD00034,user46@example.com,SKU-203,1994.86,USD,2022-07-12,,PENDING
ORD00035,user184@example.com,SKU-225,941.45,GBP,2024-06-03,,COMPLETED
ORD00036,user145@example.com,SKU-547,886.25,INR,2023-02-24,,REFUNDED
ORD00039,user102@example.com,SKU-238,569.58,GBP,2024-09-19,urgent,PENDING
ORD00040,user126@example.com,SKU-762,1740.05,USD,2023-07-27,urgent,PENDING
ORD00041,user89@example.com,SKU-183,1691.38,EUR,2022-08-06,,PENDING
ORD00042,user172@example.com,SKU-180,1665.13,EUR,2024-02-09,,REFUNDED
ORD00044,user104@example.com,SKU-887,1251.99,INR,2023-09-10,,PENDING
ORD00046,user66@example.com,SKU-716,1018.94,USD,2022-08-28,,PENDING
ORD00047,user186@example.com,SKU-742,683.98,USD,2022-05-14,real,COMPLETED
ORD00048,unknown@example.com,SKU-844,1134.03,USD,2024-10-13,urgent,COMPLETED
ORD00049,user102@example.com,SKU-653,241.31,INR,2022-05-08,urgent,REFUNDED
ORD00050,user175@example.com,SKU-119,1318.17,INR,2024-09-09,,PENDING
ORD00052,user46@example.com,SKU-480,514.38,USD,2023-03-16,real,COMPLETED
ORD00053,user185@example.com,SKU-772,916.57,USD,2022-02-28,,COMPLETED
ORD00054,user95@example.com,SKU-873,367.77,EUR,2022-09-14,,COMPLETED
ORD00055,user137@example.com,SKU-453,649.93,USD,2024-03-10,urgent,REFUNDED
ORD00056,user136@example.com,SKU-675,1378.91,INR,2023-04-14,real,PENDING
ORD00057,user172@example.com,SKU-771,941.63,INR,2022-09-03,real,PENDING
ORD00058,user98@example.com,SKU-564,669.95,USD,2022-03-04,urgent,COMPLETED
ORD00061,user145@example.com,SKU-926,1152.52,EUR,2022-11-14,,REFUNDED
ORD00062,user148@example.com,SKU-982,1946.43,GBP,2022-12-06,real,REFUNDED
ORD00063,user114@example.com,SKU-691,866.9,INR,2022-05-12,,PENDING
ORD00064,user20@example.com,SKU-201,772.46,EUR,2022-11-02,real,PENDING
ORD00065,user185@example.com,SKU-587,1552.21,USD,2023-06-14,,PENDING
ORD00066,user2@example.com,SKU-778,372.81,EUR,2022-10-24,,PENDING
ORD00067,user59@example.com,SKU-525,1896.38,USD,2023-03-03,,COMPLETED
ORD00068,user95@example.com,SKU-743,556.11,USD,2023-10-10,,COMPLETED
ORD00070,user188@example.com,SKU-211,1221.21,GBP,2024-08-16,real,COMPLETED
ORD00071,user194@example.com,SKU-408,426.0,GBP,2024-12-25,,PENDING
ORD00072,unknown@example.com,SKU-628,1610.24,EUR,2022-03-11,real,PENDING
ORD00073,user52@example.com,SKU-517,552.25,EUR,2023-04-17,urgent,PENDING
ORD00074,user2@example.com,SKU-470,1438.84,EUR,2023-06-13,,COMPLETED
ORD00075,user175@example.com,SKU-363,1382.77,EUR,2023-01-10,,PENDING
ORD00076,user172@example.com,SKU-000,600.62,EUR,2024-07-28,,COMPLETED
ORD00077,user37@example.com,SKU-844,491.24,USD,2023-12-14,,PENDING
ORD00078,user41@example.com,SKU-754,107.5,INR,2024-07-13,,PENDING
ORD00081,user60@example.com,SKU-760,1746.08,GBP,2024-03-11,,COMPLETED
ORD00082,user194@example.com,SKU-931,580.78,INR,2023-11-23,,PENDING
ORD00085,user102@example.com,SKU-791,1346.2,USD,2023-11-17,,COMPLETED
ORD00086,user75@example.com,SKU-860,392.26,GBP,2023-11-19,,PENDING
ORD00088,user180@example.com,SKU-344,1134.03,EUR,2023-05-11,urgent,COMPLETED
ORD00089,user48@example.com,SKU-278,1530.06,INR,2022-12-12,,PENDING
ORD00090,user137@example.com,SKU-368,1407.2,USD,2024-05-08,,COMPLETED
ORD00091,user189@example.com,SKU-506,1165.2,USD,2023-05-27,urgent,PENDING
ORD00093,unknown@example.com,SKU-501,1938.56,EUR,2023-02-03,,PENDING
ORD00095,user29@example.com,SKU-775,428.18,GBP,2024-06-03,real,COMPLETED
ORD00096,user135@example.com,SKU-417,999.26,EUR,2022-12-04,,REFUNDED
ORD00097,user182@example.com,SKU-324,62.26,EUR,2022-03-03,,COMPLETED
ORD00098,user57@example.com,SKU-186,1623.76,EUR,2024-12-20,,COMPLETED
ORD00100,user150@example.com,SKU-240,1596.68,EUR,2023-10-20,urgent,PENDING
ORD00101,user185@example.com,SKU-480,506.55,INR,2023-03-23,,COMPLETED
ORD00102,user196@example.com,SKU-862,1140.57,INR,2023-02-24,,PENDING
ORD00103,unknown@example.com,SKU-825,680.43,EUR,2022-10-20,,PENDING
ORD00104,user186@example.com,SKU-711,1407.46,EUR,2022-11-14,,COMPLETED
ORD00105,user138@example.com,SKU-000,165.48,GBP,2022-02-28,urgent,PENDING
ORD00106,user122@example.com,SKU-735,1702.65,EUR,2024-08-14,urgent,PENDING
ORD00107,user74@example.com,SKU-228,1645.12,GBP,2022-09-26,real,COMPLETED
ORD00108,user145@example.com,SKU-794,162.54,EUR,2024-09-23,,REFUNDED
ORD00109,user173@example.com,SKU-000,1842.25,USD,2022-12-02,urgent,COMPLETED
ORD00110,user3@example.com,SKU-000,1582.53,USD,2023-07-19,,COMPLETED
ORD00111,user98@example.com,SKU-224,102.84,USD,2023-11-20,,REFUNDED
ORD00112,user127@example.com,SKU-531,1721.03,GBP,2022-06-28,,PENDING
ORD00113,user121@example.com,SKU-000,618.69,EUR,2024-06-15,,COMPLETED
ORD00115,user150@example.com,SKU-235,175.8,USD,2023-05-16,,COMPLETED
ORD00116,user139@example.com,SKU-681,662.96,INR,2024-08-02,,COMPLETED
ORD00117,user183@example.com,SKU-264,1356.83,INR,2023-09-01,,REFUNDED
ORD00118,user69@example.com,SKU-711,1745.8,EUR,2024-08-27,real,PENDING
ORD00120,user151@example.com,SKU-341,256.93,USD,2023-02-01,,REFUNDED
ORD00123,user114@example.com,SKU-524,33.23,USD,2022-02-27,,COMPLETED
ORD00124,user179@example.com,SKU-000,1108.95,INR,2024-12-15,real,COMPLETED
ORD00126,user91@example.com,SKU-942,545.48,EUR,2023-05-08,urgent,COMPLETED
ORD00127,unknown@example.com,SKU-856,1719.39,GBP,2022-09-26,,PENDING
ORD00128,user132@example.com,SKU-511,351.76,USD,2024-01-25,,COMPLETED
ORD00131,user16@example.com,SKU-779,1311.29,INR,2022-07-16,real,COMPLETED
ORD00132,unknown@example.com,SKU-674,1901.82,INR,2022-02-01,real,REFUNDED
ORD00133,user90@example.com,SKU-153,1388.88,EUR,2024-10-20,,COMPLETED
ORD00134,user76@example.com,SKU-564,1091.4,INR,2024-03-08,urgent,COMPLETED
ORD00135,user96@example.com,SKU-819,1705.42,INR,2022-09-21,,COMPLETED
ORD00136,user163@example.com,SKU-583,1151.75,USD,2022-11-14,,REFUNDED
ORD00137,user166@example.com,SKU-955,344.12,INR,2023-08-21,,COMPLETED
ORD00138,unknown@example.com,SKU-652,1494.8,EUR,2023-10-08,,COMPLETED
ORD00140,user181@example.com,SKU-923,949.15,INR,2023-02-19,urgent,PENDING
ORD00141,user108@example.com,SKU-000,1087.47,INR,2024-07-02,,COMPLETED
ORD00142,user128@example.com,SKU-292,470.96,USD,2022-02-05,,COMPLETED
ORD00143,user72@example.com,SKU-993,924.99,EUR,2023-10-06,urgent,COMPLETED
ORD00144,user79@example.com,SKU-938,1999.15,INR,2022-03-19,real,COMPLETED
ORD00145,user29@example.com,SKU-470,1243.95,INR,2023-11-16,,PENDING
ORD00146,unknown@example.com,SKU-859,879.04,GBP,2023-02-08,,REFUNDED
ORD00148,user10@example.com,SKU-436,302.65,GBP,2023-06-12,,COMPLETED
ORD00150,user162@example.com,SKU-417,1386.95,USD,2023-05-16,,COMPLETED
ORD00152,user115@example.com,SKU-748,466.8,INR,2024-12-26,,REFUNDED
ORD00153,user107@example.com,SKU-549,1642.39,INR,2024-01-22,urgent,REFUNDED
ORD00154,user189@example.com,SKU-806,1984.55,EUR,2024-02-09,,REFUNDED
ORD00156,user194@example.com,SKU-000,550.48,USD,2023-06-03,urgent,REFUNDED
ORD00157,user21@example.com,SKU-860,362.99,USD,2023-02-16,real,COMPLETED
ORD00158,user13@example.com,SKU-201,1737.58,GBP,2022-02-22,,COMPLETED
ORD00159,unknown@example.com,SKU-770,1576.72,GBP,2024-03-11,real,COMPLETED
ORD00160,user122@example.com,SKU-121,1882.42,GBP,2022-04-23,,PENDING
ORD00161,user87@example.com,SKU-153,1182.41,INR,2022-04-02,real,PENDING
ORD00162,user50@example.com,SKU-000,201.39,USD,2023-12-23,real,PENDING
ORD00163,user131@example.com,SKU-458,187.2,INR,2024-11-12,,REFUNDED
ORD00164,user77@example.com,SKU-894,1960.59,INR,2023-07-08,urgent,COMPLETED
ORD00167,user104@example.com,SKU-809,1389.53,EUR,2024-04-02,,REFUNDED
ORD00169,user18@example.com,SKU-882,379.23,GBP,2023-12-13,urgent,COMPLETED
ORD00171,unknown@example.com,SKU-229,586.06,EUR,2022-02-15,urgent,PENDING
ORD00172,user70@example.com,SKU-386,1948.72,GBP,2023-04-08,urgent,COMPLETED
ORD00173,user22@example.com,SKU-395,1490.61,EUR,2023-02-14,urgent,REFUNDED
ORD00174,user45@example.com,SKU-907,1127.86,GBP,2024-03-27,,PENDING
ORD00175,user28@example.com,SKU-164,1808.79,INR,2022-05-26,,PENDING
ORD00176,user15@example.com,SKU-476,1924.01,INR,2024-07-02,,COMPLETED
ORD00177,user92@example.com,SKU-580,593.99,INR,2022-04-11,,COMPLETED
ORD00178,user136@example.com,SKU-476,984.3,GBP,2022-04-17,urgent,PENDING
ORD00179,user157@example.com,SKU-131,1322.55,USD,2024-04-09,,COMPLETED
ORD00180,unknown@example.com,SKU-343,1047.53,USD,2024-11-06,real,PENDING
ORD00181,user113@example.com,SKU-446,1586.9,EUR,2023-10-05,,COMPLETED
ORD00182,user25@example.com,SKU-551,1742.32,USD,2024-06-08,,COMPLETED
ORD00183,user178@example.com,SKU-339,245.71,INR,2022-08-20,,REFUNDED
ORD00184,user97@example.com,SKU-105,1956.0,INR,2024-09-24,,PENDING
ORD00186,user194@example.com,SKU-524,1279.68,EUR,2023-06-18,,COMPLETED
ORD00187,user122@example.com,SKU-265,1826.09,USD,2024-01-24,,PENDING
ORD00188,user57@example.com,SKU-847,1297.03,USD,2022-11-13,,COMPLETED
ORD00191,user49@example.com,SKU-783,1031.62,EUR,2024-06-11,,COMPLETED
ORD00194,unknown@example.com,SKU-128,402.44,EUR,2023-01-10,,COMPLETED
ORD00195,user98@example.com,SKU-955,552.59,EUR,2023-04-04,,COMPLETED
ORD00196,user166@example.com,SKU-877,1759.26,EUR,2023-03-06,real,PENDING
ORD00197,user49@example.com,SKU-417,301.45,INR,2024-04-02,real,PENDING
ORD00199,user39@example.com,SKU-579,190.64,USD,2024-07-12,real,PENDING
