order_id,customer_email,sku,amount,currency,order_date,order_notes,status
ORD00166,user131@example.com,SKU-721,761.08,usd,2023-06-25,sandbox,COMPLETED
ORD00097,user182@example.com,sku324,62.26,Eur,2022-03-03,,COMPLETED
ORD00106,user122@example.com,SKU-735,1702.65,EUR,14/8/2024,urgent,pending
ORD00054,user95@example.com,sku873,367.77,EUR,Sep-14-2022,,COMPLETED
ORD00095,user29@example.com,sku775,428.18,GBP,3/6/2024,real,COMPLETED
ORD00100,user150@example.com,SKU-240,1596.68,EUR,20/10/2023,urgent,pending
ORD00047,user186@example.com,SKU-742,683.98,USD,2022-05-14,real,COMPLETED
ORD00291,user162@example.com,sku416,1761.24,Eur,2022-12-18,,completed
ORD00227,,SKU-134,1403.86,INR,19/9/2022,,Pending
ORD00261,user168@example.com,SKU-849,556.16,EUR,Jul-6-2022,,completed
ORD00264,user199@example.com,sku402,25.25,GBP,2023-05-16,sandbox,COMPLETED
ORD00067,user59@example.com,SKU-525,1896.38,USD,3/3/2023,,completed
ORD00115,user150@example.com,sku235,175.8,USD,2023-05-16,,completed
ORD00045,user135@example.com,SKU-997,1441.55,USD,12/5/2022,sandbox,completed
ORD00208,user159@example.com,SKU-643,979.71,inr,Nov-16-2024,test order,completed
ORD00045,user98@example.com,SKU-379,1517.54,usd,Apr-15-2022,sandbox,completed
ORD00075,user175@example.com,SKU-363,1382.77,EUR,10/1/2023,,pending
ORD00278,user147@example.com,SKU-593,1293.58,Eur,2024-07-26,,refunded
ORD00229,user29@example.com,SKU-402,984.19,usd,2023-06-14,,pending
ORD00181,user113@example.com,SKU-446,1586.9,EUR,Oct-5-2023,,COMPLETED
ORD00199,user39@example.com,SKU-579,190.64,usd,2024-12-07,real,pending
ORD00214,user53@example.com,sku244,447.08,inr,2023-03-13,urgent,completed
ORD00223,user199@example.com,sku331,1385.12,GBP,2023-12-23,test order,refunded
ORD00286,user121@example.com,SKU-841,615.88,Eur,Aug-19-2022,,pending
ORD00091,user189@example.com,SKU-506,1165.2,USD,2023-05-27,urgent,Pending
ORD00140,user181@example.com,SKU-923,949.15,INR,2023-02-19,urgent,pending
ORD00212,user54@example.com,SKU-192,1064.19,usd,19/9/2022,,completed
ORD00205,user170@example.com,SKU-114,853.88,USD,Sep-1-2024,test order,COMPLETED
ORD00017,user97@example.com,SKU-226,1493.14,Eur,2024-04-15,,Pending
ORD00200,user45@example.com,SKU-788,664.93,EUR,2024-02-27,sandbox,Pending
ORD00090,user137@example.com,sku368,1407.2,usd,2024-08-05,,COMPLETED
ORD00126,user91@example.com,SKU-942,545.48,Eur,May-8-2023,urgent,completed
ORD00101,user185@example.com,SKU-480,506.55,inr,Mar-23-2023,,completed
ORD00183,user178@example.com,sku339,245.71,INR,2022-08-20,,refunded
ORD00027,user124@example.com,SKU-734,389.21,USD,2024-07-18,,COMPLETED
ORD00257,user64@example.com,SKU-674,243.51,USD,Dec-14-2024,,completed
ORD00226,user77@example.com,SKU-724,1074.05,GBP,26/6/2024,,pending
ORD00216,user77@example.com,SKU-164,1525.57,GBP,Oct-21-2022,,pending
ORD00168,user181@example.com,SKU-575,374.37,inr,25/4/2024,test order,Pending
ORD00092,user181@example.com,sku409,436.69,Eur,Jun-6-2024,test order,pending
ORD00232,user123@example.com,SKU-219,970.98,EUR,Jan-19-2024,,refunded
ORD00026,user185@example.com,SKU-138,1450.55,usd,Nov-13-2023,,completed
ORD00292,user32@example.com,sku604,1953.33,USD,2022-01-04,urgent,completed
ORD00270,user140@example.com,sku340,1051.65,INR,2022-09-24,,completed
ORD00039,user102@example.com,sku238,569.58,GBP,Sep-19-2024,urgent,pending
ORD00141,user198@example.com,sku479,205.55,Eur,Apr-15-2023,test order,Pending
ORD00086,user75@example.com,SKU-860,392.26,GBP,2023-11-19,,pending
ORD00297,,SKU-653,458.83,GBP,Sep-5-2023,sandbox,COMPLETED
ORD00157,user21@example.com,SKU-860,362.99,usd,16/2/2023,real,completed
ORD00123,user114@example.com,SKU-524,33.23,usd,2022-02-27,,COMPLETED
ORD00011,user192@example.com,sku953,1070.6,USD,Mar-12-2023,,completed
ORD00073,user52@example.com,SKU-517,552.25,Eur,2023-04-17,urgent,Pending
ORD00172,user70@example.com,sku386,1948.72,GBP,2023-08-04,urgent,COMPLETED
ORD00124,user179@example.com,,1108.95,INR,2024-12-15,real,completed
ORD00102,user28@example.com,SKU-554,1396.35,EUR,2022-05-02,sandbox,pending
ORD00120,user151@example.com,SKU-341,256.93,usd,Feb-1-2023,,refunded
ORD00158,user13@example.com,SKU-201,1737.58,GBP,Feb-22-2022,,COMPLETED
ORD00178,user136@example.com,SKU-476,984.3,GBP,Apr-17-2022,urgent,Pending
ORD00081,user60@example.com,sku760,1746.08,GBP,Mar-11-2024,,completed
ORD00004,,SKU-507,1150.26,Eur,2023-04-26,urgent,Pending
ORD00035,user184@example.com,SKU-225,941.45,GBP,2024-03-06,,completed
ORD00288,user175@example.com,SKU-943,883.74,USD,Nov-14-2023,,refunded
ORD00066,user2@example.com,SKU-778,372.81,Eur,24/10/2022,,Pending
ORD00078,user41@example.com,SKU-754,107.5,INR,2024-07-13,,pending
ORD00160,user122@example.com,SKU-121,1882.42,GBP,23/4/2022,,pending
ORD00038,user52@example.com,,958.07,Eur,2024-02-19,sandbox,Pending
ORD00107,user74@example.com,SKU-228,1645.12,GBP,26/9/2022,real,COMPLETED
